"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2000",2153.657,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2001",2289.34,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2002",2481.046,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2003",2577.124,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2004",2816.707,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2005",2872.44,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2006",2995.079,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2007",3197.667,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2008",3350.144,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2009",3421.888,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2010",3595.111,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2011",3809.112,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2012",3854.19,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2013",4092.619,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2014",4190.269,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2015",4380.985,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2016",4605.95,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2017",4710.617,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2018",4964.533,"E"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2019",5187.419,"E"
"AUT","HEALTHEXP","TOT","USD_CAP","A","2000",2802.576,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2001",2857.586,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2002",3101.021,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2003",3197.727,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2004",3410.897,"B"
"AUT","HEALTHEXP","TOT","USD_CAP","A","2005",3475.868,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2006",3632.273,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2007",3794.212,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2008",4009.307,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2009",4100.013,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2010",4257.13,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2011",4345.158,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2012",4588.344,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2013",4767.083,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2014",4858.332,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2015",4944.771,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2016",5195.36,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2017",5360.423,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2018",5538.347,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2019",5851.055,"P"
"BEL","HEALTHEXP","TOT","USD_CAP","A","2000",2297.099,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2001",2402.964,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2002",2644.145,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2003",2916.23,"B"
"BEL","HEALTHEXP","TOT","USD_CAP","A","2004",3098.906,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2005",3117.11,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2006",3204.37,
